Date,High,Low,Open,Close
06-03-2015,0.0116638,0.0108557,0.0115519,0.0108557
07-03-2015,0.0108578,0.0105224,0.0108578,0.010535
08-03-2015,0.0105279,0.00993945,0.0105279,0.00996095
09-03-2015,0.0108076,0.00996281,0.009963,0.0106431
10-03-2015,0.0107046,0.0100775,0.0106396,0.0100864
11-03-2015,0.0102424,0.0100435,0.0100873,0.0102294
12-03-2015,0.0103672,0.0101535,0.0102271,0.010359
13-03-2015,0.0105869,0.0103329,0.0103517,0.0105112
14-03-2015,0.0110976,0.0104358,0.0104874,0.0110881
15-03-2015,0.0112292,0.0108172,0.0110949,0.0108172
16-03-2015,0.0110474,0.0107958,0.0108248,0.0109681
17-03-2015,0.011033,0.0109015,0.0109657,0.010929
18-03-2015,0.0109619,0.0105157,0.0109294,0.0105753
19-03-2015,0.0106356,0.0102956,0.0105935,0.0104804
20-03-2015,0.0105787,0.0103385,0.0104797,0.0104461
21-03-2015,0.0104526,0.0101622,0.0104455,0.0101817
22-03-2015,0.0102455,0.0101221,0.0101815,0.010196
23-03-2015,0.0103814,0.0100977,0.0101977,0.0103085
24-03-2015,0.0103445,0.00975656,0.0103129,0.00975656
25-03-2015,0.00982677,0.00911485,0.00976351,0.00911508
26-03-2015,0.00911497,0.00873571,0.00911456,0.00876441
27-03-2015,0.00896025,0.0087277,0.00876421,0.00889473
28-03-2015,0.00890758,0.00875073,0.00888834,0.00885124
29-03-2015,0.00885937,0.00846432,0.00885093,0.00849837
29-03-2015,0.0086378,0.00844825,0.00849937,0.00845314
30-03-2015,0.00845525,0.00777155,0.00845231,0.00777155
31-03-2015,0.00777195,0.00756389,0.00777195,0.00766795
01-04-2015,0.00792435,0.00766526,0.00766645,0.00790557
02-04-2015,0.00872222,0.00790437,0.00790543,0.00872025
03-04-2015,0.00896745,0.00871441,0.0087166,0.00884378
04-04-2015,0.00885182,0.00871603,0.00884695,0.00873875
05-04-2015,0.00883899,0.00873578,0.00874875,0.00878588
06-04-2015,0.00907968,0.0087735,0.00877516,0.00907077
07-04-2015,0.00926899,0.00906247,0.00906719,0.00919803
08-04-2015,0.0092043,0.00878012,0.00919227,0.00878012
09-04-2015,0.00877584,0.00850289,0.00877584,0.00851215
10-04-2015,0.00851686,0.00826399,0.00851506,0.00829986
11-04-2015,0.00870093,0.00827057,0.00829901,0.00860976
12-04-2015,0.00862296,0.00816165,0.00861225,0.00819443
13-04-2015,0.00829904,0.00813919,0.00819255,0.0081589
14-04-2015,0.00816328,0.00788139,0.00816018,0.00794882
15-04-2015,0.0080137,0.00794258,0.0079552,0.00800978
16-04-2015,0.00806437,0.00800835,0.00801363,0.00802544
17-04-2015,0.00804444,0.00789797,0.00804227,0.00789994
18-04-2015,0.00791622,0.00784138,0.00789858,0.00784636
19-04-2015,0.00795382,0.00783492,0.00784132,0.00793162
20-04-2015,0.00797522,0.00781651,0.00793317,0.00796757
21-04-2015,0.00806349,0.0079541,0.00797547,0.00802505
22-04-2015,0.00804561,0.00800408,0.0080265,0.00801867
23-04-2015,0.00810079,0.00793548,0.00801815,0.00807693
24-04-2015,0.0082925,0.00803938,0.00807957,0.00829068
25-04-2015,0.00829714,0.00768403,0.00829048,0.00774017
26-04-2015,0.00784568,0.00767485,0.00774174,0.00776538
27-04-2015,0.00776432,0.00760684,0.00776432,0.00762987
28-04-2015,0.00786304,0.00763039,0.00763282,0.00786304
29-04-2015,0.00807263,0.00785266,0.00785668,0.00802912
